rank,gene_id,protein_id,protein_name,log2_fold_change,fold_change,p_value,cellular_location,immunogenicity_score,combined_score
4816,ENSG00000232995,ENSP00000232995,ENSG00000232995 protein,1.17,2.26,3.648e-04,unknown,0.05,1.208
4817,ENSG00000169683,ENSP00000169683,LRRC45 protein,1.07,2.10,5.500e-05,cytoplasm,0.69,1.208
4818,ENSG00000091409,ENSP00000091409,ITGA6 protein,1.02,2.02,1.549e-04,membrane,0.98,1.208
4819,ENSG00000100575,ENSP00000100575,TIMM9 protein,1.10,2.15,3.457e-05,mitochondria,0.49,1.208
4820,ENSG00000226261,ENSP00000226261,ENSG00000226261 protein,1.18,2.26,8.973e-03,unknown,0.05,1.208
4821,ENSG00000132780,ENSP00000132780,NASP protein,1.06,2.09,1.213e-06,nucleus,0.7200000000000001,1.208
4822,ENSG00000251369,ENSP00000251369,ZNF550 protein,1.08,2.11,4.012e-04,nucleus,0.64,1.207
4823,ENSG00000186312,ENSP00000186312,ENSG00000186312 protein,1.17,2.24,2.120e-04,unknown,0.1,1.207
4824,ENSG00000132603,ENSP00000132603,NIP7 protein,1.08,2.12,1.131e-06,nucleus,0.61,1.207
4825,ENSG00000119737,ENSP00000119737,GPR75 protein,1.04,2.06,9.962e-03,membrane,0.85,1.207
4826,ENSG00000229447,ENSP00000229447,ENSG00000229447 protein,1.18,2.27,2.276e-02,unknown,0.05,1.207
4827,ENSG00000271119,ENSP00000271119,ENSG00000271119 protein,1.18,2.26,1.240e-02,unknown,0.05,1.207
4828,ENSG00000204620,ENSP00000204620,ENSG00000204620 protein,1.17,2.26,2.168e-03,unknown,0.05,1.207
4829,ENSG00000124614,ENSP00000124614,RPS10 protein,1.05,2.07,2.903e-04,cytoplasm,0.7799999999999999,1.207
4830,ENSG00000165115,ENSP00000165115,KIF27 protein,1.05,2.07,1.181e-05,cytoplasm,0.7799999999999999,1.207
4831,ENSG00000273008,ENSP00000273008,ENSG00000273008 protein,1.18,2.26,9.356e-03,unknown,0.05,1.207
4832,ENSG00000272824,ENSP00000272824,ENSG00000272824 protein,1.18,2.26,8.301e-03,unknown,0.05,1.207
4833,ENSG00000281849,ENSP00000281849,ENSG00000281849 protein,1.17,2.26,2.103e-03,unknown,0.05,1.207
4834,ENSG00000213005,ENSP00000213005,ENSG00000213005 protein,1.18,2.26,5.934e-03,unknown,0.05,1.207
4835,ENSG00000165752,ENSP00000165752,ENSG00000165752 protein,1.17,2.24,1.601e-04,unknown,0.1,1.207
4836,ENSG00000176055,ENSP00000176055,MBLAC2 protein,1.01,2.02,2.209e-04,membrane,1,1.207
4837,ENSG00000142556,ENSP00000142556,ZNF614 protein,1.07,2.10,1.681e-07,nucleus,0.6799999999999999,1.207
4838,ENSG00000105647,ENSP00000105647,PIK3R2 protein,1.09,2.14,1.090e-02,cytoplasm,0.56,1.207
4839,ENSG00000147434,ENSP00000147434,CHRNA6 protein,1.06,2.08,3.744e-02,membrane,0.86,1.207
4840,ENSG00000258657,ENSP00000258657,ENSG00000258657 protein,1.18,2.26,8.626e-03,unknown,0.05,1.207
4841,ENSG00000285630,ENSP00000285630,ENSG00000285630 protein,1.18,2.26,4.926e-03,unknown,0.05,1.207
4842,ENSG00000116852,ENSP00000116852,KIF21B protein,1.06,2.09,1.347e-03,cytoplasm,0.72,1.207
4843,ENSG00000236953,ENSP00000236953,ENSG00000236953 protein,1.17,2.26,3.852e-03,unknown,0.05,1.207
4844,ENSG00000174780,ENSP00000174780,SRP72 protein,1.01,2.02,6.033e-09,membrane,1,1.207
4845,ENSG00000136877,ENSP00000136877,FPGS protein,1.11,2.15,5.355e-07,mitochondria,0.4499999999999999,1.207
4846,ENSG00000163888,ENSP00000163888,CAMK2N2 protein,1.08,2.12,1.895e-02,cytoplasm,0.66,1.207
4847,ENSG00000227857,ENSP00000227857,ENSG00000227857 protein,1.17,2.26,4.339e-03,unknown,0.05,1.207
4848,ENSG00000084636,ENSP00000084636,COL16A1 protein,1.06,2.08,4.262e-02,secreted,0.88,1.206
4849,ENSG00000273306,ENSP00000273306,ENSG00000273306 protein,1.17,2.25,2.237e-04,unknown,0.05,1.206
4850,ENSG00000241370,ENSP00000241370,RPP21 protein,1.07,2.10,4.158e-05,nucleus,0.6799999999999999,1.206
4851,ENSG00000237077,ENSP00000237077,ENSG00000237077 protein,1.18,2.26,1.522e-02,unknown,0.05,1.206
4852,ENSG00000100116,ENSP00000100116,GCAT protein,1.11,2.16,1.331e-04,mitochondria,0.4399999999999999,1.206
4853,ENSG00000136682,ENSP00000136682,ZNG1B protein,1.07,2.11,1.052e-06,nucleus,0.64,1.206
4854,ENSG00000220685,ENSP00000220685,ENSG00000220685 protein,1.17,2.26,3.457e-03,unknown,0.05,1.206
4855,ENSG00000102317,ENSP00000102317,RBM3 protein,1.08,2.11,7.002e-07,nucleus,0.61,1.206
4856,ENSG00000270182,ENSP00000270182,ENSG00000270182 protein,1.17,2.26,6.895e-03,unknown,0.05,1.206
4857,ENSG00000155657,ENSP00000155657,TTN protein,1.08,2.12,1.020e-02,cytoplasm,0.62,1.206
4858,ENSG00000176171,ENSP00000176171,BNIP3 protein,1.12,2.18,1.753e-02,mitochondria,0.39,1.206
4859,ENSG00000188707,ENSP00000188707,ENSG00000188707 protein,1.16,2.24,1.274e-04,unknown,0.1,1.206
4860,ENSG00000258725,ENSP00000258725,ENSG00000258725 protein,1.17,2.25,4.399e-04,unknown,0.05,1.206
4861,ENSG00000269893,ENSP00000269893,SNHG8 protein,1.06,2.08,1.575e-03,nucleus,0.74,1.206
4862,ENSG00000152229,ENSP00000152229,PSTPIP2 protein,1.06,2.08,1.858e-03,cytoplasm,0.74,1.205
4863,ENSG00000065427,ENSP00000065427,KARS1 protein,1.07,2.10,7.181e-06,cytoplasm,0.66,1.205
4864,ENSG00000270457,ENSP00000270457,ENSG00000270457 protein,1.18,2.27,2.243e-02,unknown,0.05,1.205
4865,ENSG00000143374,ENSP00000143374,TARS2 protein,1.13,2.19,1.009e-08,mitochondria,0.2999999999999999,1.205
4866,ENSG00000151033,ENSP00000151033,LYZL2 protein,1.10,2.14,3.723e-02,secreted,0.62,1.205
4867,ENSG00000230894,ENSP00000230894,ENSG00000230894 protein,1.18,2.26,1.110e-02,unknown,0.05,1.205
4868,ENSG00000130511,ENSP00000130511,SSBP4 protein,1.07,2.11,2.048e-04,nucleus,0.63,1.205
4869,ENSG00000104375,ENSP00000104375,STK3 protein,1.07,2.10,1.017e-06,cytoplasm,0.6499999999999999,1.205
4870,ENSG00000125898,ENSP00000125898,FAM110A protein,1.07,2.10,7.445e-05,cytoplasm,0.64,1.205
4871,ENSG00000102738,ENSP00000102738,MRPS31 protein,1.10,2.15,1.331e-05,mitochondria,0.4599999999999999,1.205
4872,ENSG00000259158,ENSP00000259158,ENSG00000259158 protein,1.19,2.29,4.726e-02,unknown,0.05,1.205
4873,ENSG00000086758,ENSP00000086758,HUWE1 protein,1.07,2.10,5.520e-04,cytoplasm,0.67,1.205
4874,ENSG00000249042,ENSP00000249042,ENSG00000249042 protein,1.17,2.25,5.400e-05,unknown,0.05,1.205
4875,ENSG00000215241,ENSP00000215241,ENSG00000215241 protein,1.18,2.27,2.235e-02,unknown,0.05,1.205
4876,ENSG00000277423,ENSP00000277423,ENSG00000277423 protein,1.17,2.25,2.067e-04,unknown,0.05,1.205
4877,ENSG00000225580,ENSP00000225580,ENSG00000225580 protein,1.17,2.25,5.762e-04,unknown,0.05,1.205
4878,ENSG00000060749,ENSP00000060749,ENSG00000060749 protein,1.15,2.22,1.914e-05,unknown,0.15,1.205
4879,ENSG00000106397,ENSP00000106397,PLOD3 protein,1.02,2.03,2.471e-04,membrane,0.91,1.205
4880,ENSG00000167637,ENSP00000167637,ZNF283 protein,1.08,2.11,1.979e-08,nucleus,0.59,1.204
4881,ENSG00000251136,ENSP00000251136,ENSG00000251136 protein,1.16,2.24,6.494e-04,unknown,0.1,1.204
4882,ENSG00000278341,ENSP00000278341,ENSG00000278341 protein,1.18,2.26,1.450e-02,unknown,0.05,1.204
4883,ENSG00000035141,ENSP00000035141,FAM136A protein,1.06,2.08,5.166e-07,cytoplasm,0.73,1.204
4884,ENSG00000223476,ENSP00000223476,ENSG00000223476 protein,1.17,2.25,3.430e-03,unknown,0.05,1.204
4885,ENSG00000271991,ENSP00000271991,ENSG00000271991 protein,1.19,2.27,3.695e-02,unknown,0.05,1.204
4886,ENSG00000123684,ENSP00000123684,LPGAT1 protein,1.01,2.01,1.423e-05,membrane,1,1.204
4887,ENSG00000005189,ENSP00000005189,REXO5 protein,1.09,2.13,3.871e-06,nucleus,0.51,1.204
4888,ENSG00000146757,ENSP00000146757,ZNF92 protein,1.09,2.13,3.184e-07,nucleus,0.53,1.204
4889,ENSG00000132000,ENSP00000132000,PODNL1 protein,1.04,2.06,1.935e-02,secreted,0.87,1.204
4890,ENSG00000237614,ENSP00000237614,ENSG00000237614 protein,1.17,2.25,4.395e-03,unknown,0.05,1.204
4891,ENSG00000197756,ENSP00000197756,RPL37A protein,1.07,2.10,1.835e-03,cytoplasm,0.65,1.204
4892,ENSG00000134490,ENSP00000134490,TMEM241 protein,1.01,2.01,3.026e-04,membrane,1,1.204
4893,ENSG00000132394,ENSP00000132394,EEFSEC protein,1.06,2.09,1.037e-06,nucleus,0.69,1.204
4894,ENSG00000220842,ENSP00000220842,ENSG00000220842 protein,1.16,2.24,2.802e-03,unknown,0.1,1.203
4895,ENSG00000100206,ENSP00000100206,DMC1 protein,1.08,2.11,7.547e-03,nucleus,0.63,1.203
4896,ENSG00000279044,ENSP00000279044,ENSG00000279044 protein,1.17,2.26,1.465e-02,unknown,0.05,1.203
4897,ENSG00000275719,ENSP00000275719,ENSG00000275719 protein,1.17,2.25,3.147e-03,unknown,0.05,1.203
4898,ENSG00000183911,ENSP00000183911,ENSG00000183911 protein,1.17,2.25,5.290e-03,unknown,0.05,1.203
4899,ENSG00000223442,ENSP00000223442,ENSG00000223442 protein,1.17,2.25,1.648e-03,unknown,0.05,1.203
4900,ENSG00000234981,ENSP00000234981,ENSG00000234981 protein,1.17,2.25,5.729e-03,unknown,0.05,1.203
4901,ENSG00000169718,ENSP00000169718,ENSG00000169718 protein,1.15,2.22,4.467e-05,unknown,0.15,1.203
4902,ENSG00000089009,ENSP00000089009,RPL6 protein,1.04,2.06,6.151e-05,cytoplasm,0.8099999999999999,1.203
4903,ENSG00000108883,ENSP00000108883,EFTUD2 protein,1.08,2.11,5.293e-06,nucleus,0.58,1.203
4904,ENSG00000163923,ENSP00000163923,RPL39L protein,1.08,2.11,2.294e-02,cytoplasm,0.64,1.203
4905,ENSG00000237003,ENSP00000237003,ENSG00000237003 protein,1.17,2.25,6.591e-03,unknown,0.05,1.203
4906,ENSG00000089048,ENSP00000089048,ESF1 protein,1.08,2.11,6.295e-05,nucleus,0.6,1.203
4907,ENSG00000127957,ENSP00000127957,ENSG00000127957 protein,1.16,2.23,9.504e-05,unknown,0.1,1.203
4908,ENSG00000167625,ENSP00000167625,ZNF526 protein,1.07,2.10,1.121e-04,nucleus,0.63,1.203
4909,ENSG00000265791,ENSP00000265791,ENSG00000265791 protein,1.18,2.26,2.352e-02,unknown,0.05,1.203
4910,ENSG00000273343,ENSP00000273343,ENSG00000273343 protein,1.17,2.25,3.126e-03,unknown,0.05,1.203
4911,ENSG00000213740,ENSP00000213740,ENSG00000213740 protein,1.17,2.24,4.428e-07,unknown,0.05,1.202
4912,ENSG00000148303,ENSP00000148303,RPL7A protein,1.06,2.08,2.497e-05,cytoplasm,0.7,1.202
4913,ENSG00000137154,ENSP00000137154,RPS6 protein,1.03,2.05,4.874e-05,cytoplasm,0.84,1.202
4914,ENSG00000156482,ENSP00000156482,RPL30 protein,1.05,2.08,4.344e-03,cytoplasm,0.73,1.202
4915,ENSG00000109667,ENSP00000109667,SLC2A9 protein,1.01,2.02,4.679e-04,membrane,0.95,1.202
4916,ENSG00000138316,ENSP00000138316,ADAMTS14 protein,1.04,2.05,2.825e-03,secreted,0.82,1.202
4917,ENSG00000231466,ENSP00000231466,ENSG00000231466 protein,1.17,2.24,1.013e-03,unknown,0.05,1.202
4918,ENSG00000263884,ENSP00000263884,ENSG00000263884 protein,1.17,2.25,1.084e-02,unknown,0.05,1.202
4919,ENSG00000159593,ENSP00000159593,NAE1 protein,1.04,2.05,1.888e-05,cytoplasm,0.8,1.202
4920,ENSG00000232872,ENSP00000232872,ENSG00000232872 protein,1.17,2.25,1.121e-02,unknown,0.05,1.202
4921,ENSG00000201183,ENSP00000201183,RNVU1-3 protein,1.17,2.25,1.123e-02,unknown,0.05,1.202
4922,ENSG00000172809,ENSP00000172809,RPL38 protein,1.06,2.09,1.688e-03,cytoplasm,0.67,1.202
4923,ENSG00000284691,ENSP00000284691,ENSG00000284691 protein,1.06,2.09,6.540e-03,nucleus,0.6799999999999999,1.202
4924,ENSG00000279789,ENSP00000279789,ENSG00000279789 protein,1.17,2.25,2.772e-02,unknown,0.1,1.202
4925,ENSG00000086289,ENSP00000086289,EPDR1 protein,1.02,2.02,3.817e-03,membrane,0.94,1.201
4926,ENSG00000043514,ENSP00000043514,TRIT1 protein,1.12,2.18,1.182e-06,mitochondria,0.31,1.201
4927,ENSG00000136895,ENSP00000136895,GARNL3 protein,1.07,2.10,3.838e-03,cytoplasm,0.62,1.201
4928,ENSG00000112394,ENSP00000112394,SLC16A10 protein,1.02,2.03,5.223e-03,membrane,0.91,1.201
4929,ENSG00000135336,ENSP00000135336,ORC3 protein,1.07,2.10,2.331e-05,nucleus,0.62,1.201
4930,ENSG00000170802,ENSP00000170802,FOXN2 protein,1.07,2.10,4.680e-06,nucleus,0.61,1.201
4931,ENSG00000236047,ENSP00000236047,ENSG00000236047 protein,1.18,2.26,2.629e-02,unknown,0.05,1.201
4932,ENSG00000214832,ENSP00000214832,ENSG00000214832 protein,1.16,2.24,1.790e-03,unknown,0.05,1.201
4933,ENSG00000180035,ENSP00000180035,ZNF48 protein,1.06,2.08,6.125e-05,nucleus,0.6799999999999999,1.201
4934,ENSG00000271537,ENSP00000271537,ENSG00000271537 protein,1.16,2.24,3.385e-04,unknown,0.05,1.201
4935,ENSG00000174791,ENSP00000174791,RIN1 protein,1.07,2.10,1.488e-04,cytoplasm,0.6,1.201
4936,ENSG00000243797,ENSP00000243797,ENSG00000243797 protein,1.17,2.24,4.069e-03,unknown,0.05,1.201
4937,ENSG00000111344,ENSP00000111344,RASAL1 protein,1.07,2.10,3.106e-02,cytoplasm,0.7,1.201
4938,ENSG00000116771,ENSP00000116771,AGMAT protein,1.11,2.16,9.809e-06,mitochondria,0.36,1.201
4939,ENSG00000228915,ENSP00000228915,ENSG00000228915 protein,1.18,2.27,4.386e-02,unknown,0.05,1.201
4940,ENSG00000264349,ENSP00000264349,ENSG00000264349 protein,1.16,2.24,1.507e-03,unknown,0.05,1.201
4941,ENSG00000136738,ENSP00000136738,STAM protein,1.00,2.00,6.221e-07,membrane,1,1.200
4942,ENSG00000156374,ENSP00000156374,PCGF6 protein,1.08,2.12,7.212e-06,nucleus,0.54,1.200
4943,ENSG00000153551,ENSP00000153551,CMTM7 protein,1.01,2.01,5.943e-03,membrane,0.98,1.200
4944,ENSG00000271155,ENSP00000271155,ENSG00000271155 protein,1.17,2.25,1.117e-02,unknown,0.05,1.200
4945,ENSG00000231074,ENSP00000231074,ENSG00000231074 protein,1.15,2.23,1.640e-05,unknown,0.1,1.200
4946,ENSG00000168634,ENSP00000168634,WFDC13 protein,1.04,2.06,1.164e-02,secreted,0.8,1.200
4947,ENSG00000257135,ENSP00000257135,ENSG00000257135 protein,1.15,2.23,1.807e-03,unknown,0.1,1.200
4948,ENSG00000141456,ENSP00000141456,PELP1 protein,1.08,2.11,1.076e-04,nucleus,0.55,1.200
4949,ENSG00000167554,ENSP00000167554,ZNF610 protein,1.10,2.14,2.801e-02,nucleus,0.53,1.200
4950,ENSG00000188846,ENSP00000188846,RPL14 protein,1.03,2.05,6.471e-05,cytoplasm,0.8099999999999999,1.200
4951,ENSG00000118246,ENSP00000118246,FASTKD2 protein,1.09,2.12,6.444e-09,mitochondria,0.5,1.200
4952,ENSG00000095464,ENSP00000095464,PDE6C protein,1.03,2.04,2.527e-02,membrane,0.92,1.199
4953,ENSG00000143811,ENSP00000143811,PYCR2 protein,1.09,2.13,3.080e-06,mitochondria,0.4599999999999999,1.199
4954,ENSG00000183161,ENSP00000183161,FANCF protein,1.06,2.09,7.124e-06,nucleus,0.65,1.199
4955,ENSG00000241015,ENSP00000241015,ENSG00000241015 protein,1.15,2.22,4.188e-04,unknown,0.1,1.199
4956,ENSG00000081692,ENSP00000081692,JMJD4 protein,1.05,2.07,4.648e-08,cytoplasm,0.7,1.199
4957,ENSG00000121931,ENSP00000121931,LRIF1 protein,1.06,2.08,9.966e-06,nucleus,0.67,1.199
4958,ENSG00000010165,ENSP00000010165,METTL13 protein,1.02,2.02,1.160e-07,cytoplasm,0.8999999999999999,1.199
4959,ENSG00000272734,ENSP00000272734,ENSG00000272734 protein,1.16,2.23,7.730e-03,unknown,0.1,1.199
4960,ENSG00000143727,ENSP00000143727,ACP1 protein,1.04,2.05,1.309e-05,cytoplasm,0.78,1.199
4961,ENSG00000270061,ENSP00000270061,ENSG00000270061 protein,1.16,2.24,9.296e-03,unknown,0.05,1.199
4962,ENSG00000147679,ENSP00000147679,UTP23 protein,1.07,2.11,4.477e-07,nucleus,0.56,1.198
4963,ENSG00000179057,ENSP00000179057,ENSG00000179057 protein,1.16,2.23,2.104e-04,unknown,0.05,1.198
4964,ENSG00000229503,ENSP00000229503,ENSG00000229503 protein,1.16,2.24,5.920e-03,unknown,0.05,1.198
4965,ENSG00000125691,ENSP00000125691,RPL23 protein,1.04,2.05,1.163e-02,cytoplasm,0.8,1.198
4966,ENSG00000251791,ENSP00000251791,SCARNA6 protein,1.09,2.13,2.500e-02,nucleus,0.52,1.198
4967,ENSG00000137504,ENSP00000137504,CREBZF protein,1.04,2.06,1.224e-05,nucleus,0.73,1.198
4968,ENSG00000163214,ENSP00000163214,ENSG00000163214 protein,1.15,2.22,2.825e-09,unknown,0.1,1.198
4969,ENSG00000135049,ENSP00000135049,AGTPBP1 protein,1.06,2.09,4.697e-06,cytoplasm,0.63,1.198
4970,ENSG00000227945,ENSP00000227945,ENSG00000227945 protein,1.17,2.25,2.445e-02,unknown,0.05,1.198
4971,ENSG00000272663,ENSP00000272663,ENSG00000272663 protein,1.17,2.25,2.453e-02,unknown,0.05,1.198
4972,ENSG00000259056,ENSP00000259056,ENSG00000259056 protein,1.16,2.23,1.897e-03,unknown,0.05,1.198
4973,ENSG00000205060,ENSP00000205060,SLC35B4 protein,1.01,2.01,5.522e-06,membrane,0.92,1.198
4974,ENSG00000188868,ENSP00000188868,ZNF563 protein,1.05,2.07,1.844e-04,nucleus,0.6799999999999999,1.198
4975,ENSG00000131797,ENSP00000131797,ENSG00000131797 protein,1.15,2.22,3.242e-04,unknown,0.1,1.198
4976,ENSG00000261123,ENSP00000261123,ENSG00000261123 protein,1.15,2.22,3.206e-06,unknown,0.1,1.197
4977,ENSG00000119280,ENSP00000119280,C1orf198 protein,1.04,2.06,1.712e-05,cytoplasm,0.74,1.197
4978,ENSG00000140104,ENSP00000140104,CLBA1 protein,1.01,2.01,1.409e-04,membrane,0.92,1.197
4979,ENSG00000156398,ENSP00000156398,SFXN2 protein,1.09,2.12,4.887e-06,mitochondria,0.48,1.197
4980,ENSG00000154380,ENSP00000154380,ENAH protein,1.05,2.08,1.006e-04,cytoplasm,0.67,1.197
4981,ENSG00000225294,ENSP00000225294,ENSG00000225294 protein,1.16,2.23,1.385e-04,unknown,0.05,1.197
4982,ENSG00000265690,ENSP00000265690,ENSG00000265690 protein,1.16,2.24,1.433e-02,unknown,0.05,1.197
4983,ENSG00000121741,ENSP00000121741,ZMYM2 protein,1.05,2.07,1.917e-06,nucleus,0.7000000000000001,1.197
4984,ENSG00000231154,ENSP00000231154,ENSG00000231154 protein,1.16,2.23,3.829e-03,unknown,0.05,1.197
4985,ENSG00000269489,ENSP00000269489,ENSG00000269489 protein,1.16,2.23,5.370e-03,unknown,0.05,1.197
4986,ENSG00000171462,ENSP00000171462,DLK2 protein,1.03,2.04,2.835e-03,membrane,0.8300000000000001,1.196
4987,ENSG00000227492,ENSP00000227492,ENSG00000227492 protein,1.16,2.24,9.967e-03,unknown,0.05,1.196
4988,ENSG00000164885,ENSP00000164885,CDK5 protein,1.04,2.06,3.939e-06,cytoplasm,0.72,1.196
4989,ENSG00000240065,ENSP00000240065,PSMB9 protein,1.05,2.07,1.874e-03,cytoplasm,0.6900000000000001,1.196
4990,ENSG00000180329,ENSP00000180329,CCDC43 protein,1.06,2.08,1.511e-06,cytoplasm,0.64,1.196
4991,ENSG00000254165,ENSP00000254165,ENSG00000254165 protein,1.17,2.25,2.651e-02,unknown,0.05,1.196
4992,ENSG00000217555,ENSP00000217555,CKLF protein,1.03,2.04,1.268e-04,membrane,0.8200000000000001,1.196
4993,ENSG00000226167,ENSP00000226167,ENSG00000226167 protein,1.16,2.23,1.791e-03,unknown,0.05,1.196
4994,ENSG00000197713,ENSP00000197713,RPE protein,1.04,2.06,1.260e-07,cytoplasm,0.72,1.196
4995,ENSG00000232888,ENSP00000232888,ENSG00000232888 protein,1.15,2.22,4.606e-03,unknown,0.1,1.196
4996,ENSG00000157557,ENSP00000157557,ETS2 protein,1.05,2.07,9.292e-06,nucleus,0.6900000000000001,1.196
4997,ENSG00000140025,ENSP00000140025,ENSG00000140025 protein,1.15,2.21,5.180e-08,unknown,0.1,1.196
4998,ENSG00000143157,ENSP00000143157,POGK protein,1.07,2.10,1.084e-08,nucleus,0.55,1.196
4999,ENSG00000286011,ENSP00000286011,ENSG00000286011 protein,1.16,2.23,3.637e-03,unknown,0.05,1.196
5000,ENSG00000246526,ENSP00000246526,ENSG00000246526 protein,1.16,2.23,4.653e-03,unknown,0.05,1.195
5001,ENSG00000167685,ENSP00000167685,ZNF444 protein,1.05,2.07,6.852e-04,nucleus,0.66,1.195
5002,ENSG00000272861,ENSP00000272861,ENSG00000272861 protein,1.16,2.24,1.545e-02,unknown,0.05,1.195
5003,ENSG00000166228,ENSP00000166228,PCBD1 protein,1.02,2.03,8.604e-06,cytoplasm,0.82,1.195
5004,ENSG00000129187,ENSP00000129187,DCTD protein,1.03,2.04,2.179e-09,cytoplasm,0.8099999999999999,1.195
5005,ENSG00000102144,ENSP00000102144,PGK1 protein,1.05,2.07,2.355e-05,cytoplasm,0.68,1.195
5006,ENSG00000285865,ENSP00000285865,ENSG00000285865 protein,1.17,2.24,2.616e-02,unknown,0.05,1.195
5007,ENSG00000227401,ENSP00000227401,ENSG00000227401 protein,1.17,2.25,3.397e-02,unknown,0.05,1.195
5008,ENSG00000239983,ENSP00000239983,ENSG00000239983 protein,1.16,2.24,1.579e-02,unknown,0.05,1.195
5009,ENSG00000279968,ENSP00000279968,ENSG00000279968 protein,1.15,2.22,1.587e-03,unknown,0.05,1.195
5010,ENSG00000288104,ENSP00000288104,ENSG00000288104 protein,1.18,2.26,4.573e-02,unknown,0.05,1.195
5011,ENSG00000279330,ENSP00000279330,ENSG00000279330 protein,1.18,2.26,4.625e-02,unknown,0.05,1.194
5012,ENSG00000197989,ENSP00000197989,SNHG12 protein,1.05,2.08,1.961e-04,nucleus,0.64,1.194
5013,ENSG00000158234,ENSP00000158234,FAIM protein,1.03,2.05,5.449e-06,cytoplasm,0.7599999999999999,1.194
5014,ENSG00000271361,ENSP00000271361,ENSG00000271361 protein,1.16,2.23,5.879e-03,unknown,0.05,1.194
5015,ENSG00000285863,ENSP00000285863,ENSG00000285863 protein,1.15,2.23,6.361e-03,unknown,0.05,1.194
5016,ENSG00000255221,ENSP00000255221,ENSG00000255221 protein,1.16,2.23,1.462e-02,unknown,0.05,1.194
5017,ENSG00000186529,ENSP00000186529,CYP4F3 protein,1.01,2.01,6.166e-03,membrane,0.8999999999999999,1.193
5018,ENSG00000167208,ENSP00000167208,SNX20 protein,1.02,2.03,4.855e-02,membrane,0.98,1.193
5019,ENSG00000272567,ENSP00000272567,ENSG00000272567 protein,1.16,2.23,8.258e-03,unknown,0.05,1.193
5020,ENSG00000119812,ENSP00000119812,FAM98A protein,1.06,2.09,1.885e-07,nucleus,0.59,1.193
5021,ENSG00000099904,ENSP00000099904,ZDHHC8 protein,1.01,2.02,1.897e-03,membrane,0.87,1.193
5022,ENSG00000225871,ENSP00000225871,ENSG00000225871 protein,1.16,2.24,1.937e-02,unknown,0.05,1.193
5023,ENSG00000278611,ENSP00000278611,ENSG00000278611 protein,1.16,2.24,2.655e-02,unknown,0.05,1.193
5024,ENSG00000230371,ENSP00000230371,ENSG00000230371 protein,1.17,2.25,3.980e-02,unknown,0.05,1.193
5025,ENSG00000104979,ENSP00000104979,ENSG00000104979 protein,1.13,2.20,2.665e-04,unknown,0.15,1.193
5026,ENSG00000102710,ENSP00000102710,SUPT20H protein,1.05,2.07,7.630e-06,nucleus,0.64,1.193
5027,ENSG00000147677,ENSP00000147677,EIF3H protein,1.03,2.04,4.313e-05,cytoplasm,0.76,1.193
5028,ENSG00000229167,ENSP00000229167,ENSG00000229167 protein,1.14,2.21,1.383e-04,unknown,0.1,1.193
5029,ENSG00000122678,ENSP00000122678,POLM protein,1.05,2.08,7.625e-05,nucleus,0.62,1.193
5030,ENSG00000254675,ENSP00000254675,ENSG00000254675 protein,1.16,2.24,2.614e-02,unknown,0.05,1.193
5031,ENSG00000167962,ENSP00000167962,ZNF598 protein,1.04,2.05,6.812e-05,cytoplasm,0.72,1.193
5032,ENSG00000186234,ENSP00000186234,ENSG00000186234 protein,1.16,2.24,2.139e-02,unknown,0.05,1.193
5033,ENSG00000125462,ENSP00000125462,ENSG00000125462 protein,1.15,2.22,7.344e-03,unknown,0.05,1.193
5034,ENSG00000225614,ENSP00000225614,ZNF469 protein,1.08,2.12,3.258e-02,nucleus,0.55,1.193
5035,ENSG00000173465,ENSP00000173465,ENSG00000173465 protein,1.14,2.21,1.242e-07,unknown,0.1,1.193
5036,ENSG00000028116,ENSP00000028116,VRK2 protein,1.01,2.01,2.620e-07,membrane,0.88,1.192
5037,ENSG00000164663,ENSP00000164663,USP49 protein,1.03,2.04,1.250e-04,cytoplasm,0.7799999999999999,1.192
5038,ENSG00000151773,ENSP00000151773,ENSG00000151773 protein,1.14,2.21,2.515e-06,unknown,0.1,1.192
5039,ENSG00000228952,ENSP00000228952,ENSG00000228952 protein,1.17,2.25,4.951e-02,unknown,0.05,1.192
5040,ENSG00000242071,ENSP00000242071,ENSG00000242071 protein,1.14,2.21,2.657e-05,unknown,0.1,1.192
5041,ENSG00000230185,ENSP00000230185,ENSG00000230185 protein,1.15,2.22,1.524e-04,unknown,0.05,1.192
5042,ENSG00000166263,ENSP00000166263,STXBP4 protein,1.06,2.08,1.390e-04,cytoplasm,0.6,1.192
5043,ENSG00000090971,ENSP00000090971,NAT14 protein,1.01,2.01,1.545e-02,membrane,0.93,1.192
5044,ENSG00000279307,ENSP00000279307,ENSG00000279307 protein,1.15,2.22,1.174e-03,unknown,0.05,1.192
5045,ENSG00000146587,ENSP00000146587,RBAK protein,1.06,2.08,1.257e-05,nucleus,0.58,1.191
5046,ENSG00000139239,ENSP00000139239,ENSG00000139239 protein,1.14,2.20,8.409e-06,unknown,0.1,1.191
5047,ENSG00000228462,ENSP00000228462,ENSG00000228462 protein,1.15,2.22,1.146e-02,unknown,0.05,1.191
5048,ENSG00000226972,ENSP00000226972,ENSG00000226972 protein,1.15,2.22,5.385e-03,unknown,0.05,1.191
5049,ENSG00000180662,ENSP00000180662,ENSG00000180662 protein,1.15,2.22,1.458e-03,unknown,0.05,1.191
